"from","to","weight","raw_weight","agreement_rate","total_votes","width","color"
"D66","BBB",-0.166937580415922,3,0.5,6,0.5,"#80808014"
"D66","GroenLinks-PvdA",1.86970090065833,7,1,7,1.94219653179191,"#808080D9"
"D66","NSC",-1.18525682095305,1,0.142857142857143,7,1.23121387283237,"#80808014"
"D66","SGP",-0.166937580415922,3,0.5,6,0.5,"#80808014"
"D66","FVD",0.34222203985264,4,0.666666666666667,6,0.5,"#80808014"
"D66","CDA",0.851381660121203,5,0.714285714285714,7,0.884393063583815,"#80808014"
"D66","PVV",-1.18525682095305,1,0.142857142857143,7,1.23121387283237,"#80808014"
"D66","VVD",-1.18525682095305,1,0.125,8,1.23121387283237,"#80808014"
"D66","DENK",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"D66","PvdD",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"GroenLinks-PvdA","BBB",-0.166937580415922,3,0.428571428571429,7,0.5,"#80808014"
"BBB","SGP",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"BBB","SP",-0.166937580415922,3,0.5,6,0.5,"#80808014"
"BBB","CDA",0.851381660121203,5,1,5,0.884393063583815,"#80808014"
"BBB","VVD",1.36054128038977,6,1,6,1.41329479768786,"#808080D9"
"BBB","PvdD",-1.18525682095305,1,0.2,5,1.23121387283237,"#80808014"
"GroenLinks-PvdA","NSC",-1.18525682095305,1,0.166666666666667,6,1.23121387283237,"#80808014"
"GroenLinks-PvdA","SGP",-0.166937580415922,3,0.3,10,0.5,"#80808014"
"GroenLinks-PvdA","CDA",0.34222203985264,4,0.5,8,0.5,"#80808014"
"PVV","GroenLinks-PvdA",-1.18525682095305,1,0.2,5,1.23121387283237,"#80808014"
"GroenLinks-PvdA","VVD",-0.676097200684485,2,0.222222222222222,9,0.702312138728324,"#80808014"
"GroenLinks-PvdA","DENK",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"GroenLinks-PvdA","PvdD",0.851381660121203,5,1,5,0.884393063583815,"#80808014"
"GroenLinks-PvdA","Volt",0.34222203985264,4,0.8,5,0.5,"#80808014"
"NSC","CDA",0.851381660121203,5,0.625,8,0.884393063583815,"#80808014"
"PVV","NSC",0.851381660121203,5,1,5,0.884393063583815,"#80808014"
"NSC","VVD",2.88802014119545,9,1,9,3,"#808080D9"
"DENK","NSC",-1.69441644122161,0,0,5,1.76011560693642,"#80808014"
"PvdD","NSC",-1.18525682095305,1,0.142857142857143,7,1.23121387283237,"#80808014"
"CDA","SGP",-0.166937580415922,3,0.6,5,0.5,"#80808014"
"PVV","SGP",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"VVD","SGP",1.86970090065833,7,0.777777777777778,9,1.94219653179191,"#808080D9"
"DENK","SGP",-1.18525682095305,1,0.166666666666667,6,1.23121387283237,"#80808014"
"PvdD","SGP",-0.166937580415922,3,0.375,8,0.5,"#80808014"
"Volt","SGP",-0.676097200684485,2,0.285714285714286,7,0.702312138728324,"#80808014"
"CDA","FVD",0.851381660121203,5,1,5,0.884393063583815,"#80808014"
"PVV","FVD",-0.166937580415922,3,0.6,5,0.5,"#80808014"
"PvdD","FVD",-0.676097200684485,2,0.4,5,0.702312138728324,"#80808014"
"SP","CDA",-1.18525682095305,1,0.142857142857143,7,1.23121387283237,"#80808014"
"PvdD","SP",0.851381660121203,5,1,5,0.884393063583815,"#80808014"
"PVV","CDA",-0.676097200684485,2,0.4,5,0.702312138728324,"#80808014"
"VVD","CDA",0.851381660121203,5,0.625,8,0.884393063583815,"#80808014"
"DENK","CDA",-0.676097200684485,2,0.4,5,0.702312138728324,"#80808014"
"PvdD","CDA",-1.18525682095305,1,0.166666666666667,6,1.23121387283237,"#80808014"
"PVV","VVD",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"PVV","DENK",-1.69441644122161,0,0,5,1.76011560693642,"#80808014"
"PVV","PvdD",-1.18525682095305,1,0.2,5,1.23121387283237,"#80808014"
"DENK","VVD",-1.69441644122161,0,0,7,1.76011560693642,"#80808014"
"PvdD","VVD",-0.676097200684485,2,0.25,8,0.702312138728324,"#80808014"
"Volt","VVD",-0.166937580415922,3,0.6,5,0.5,"#80808014"
"DENK","PvdD",0.34222203985264,4,0.8,5,0.5,"#80808014"
"Volt","PvdD",0.34222203985264,4,0.8,5,0.5,"#80808014"
"PVV","ChristenUnie",-0.676097200684485,2,0.4,5,0.702312138728324,"#80808014"
"DENK","ChristenUnie",-1.18525682095305,1,0.2,5,1.23121387283237,"#80808014"
"VVD","ChristenUnie",0.34222203985264,4,0.666666666666667,6,0.5,"#80808014"
"GroenLinks-PvdA","ChristenUnie",0.34222203985264,4,0.571428571428571,7,0.5,"#80808014"
"SGP","ChristenUnie",0.851381660121203,5,0.714285714285714,7,0.884393063583815,"#80808014"
"D66","ChristenUnie",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"CDA","ChristenUnie",0.851381660121203,5,1,5,0.884393063583815,"#80808014"
"BBB","ChristenUnie",0.851381660121203,5,0.833333333333333,6,0.884393063583815,"#80808014"
"PvdD","ChristenUnie",-0.166937580415922,3,0.6,5,0.5,"#80808014"
