"from","to","weight","agreements","total_votes","width","color"
"CDA","BBB",0.755223880597015,253,335,2.51283582089552,"#80808014"
"ChristenUnie","BBB",0.687315634218289,233,339,2.28688656476267,"#80808014"
"D66","BBB",0.540616246498599,193,357,1.79877769289534,"#80808014"
"DENK","BBB",0.507645259938838,166,327,1.68907422852377,"#80808014"
"FVD","BBB",0.641095890410959,234,365,2.13310087173101,"#80808014"
"GroenLinks-PvdA","BBB",0.459154929577465,163,355,1.52773367477593,"#80808014"
"JA21","BBB",0.78125,225,288,2.59943181818182,"#80808014"
"NSC","BBB",0.762611275964392,257,337,2.53741570002698,"#80808014"
"PVV","BBB",0.786516853932584,280,356,2.61695607763023,"#80808014"
"PvdD","BBB",0.396774193548387,123,310,1.32017595307918,"#80808014"
"SGP","BBB",0.771676300578035,267,346,2.56757750919601,"#80808014"
"SP","BBB",0.493670886075949,156,316,1.64257767548907,"#80808014"
"VVD","BBB",0.828985507246377,286,345,2.75826086956522,"#808080D9"
"Volt","BBB",0.526479750778816,169,321,1.7517417162277,"#80808014"
"CDA","ChristenUnie",0.792682926829268,260,328,2.63747228381375,"#80808014"
"D66","CDA",0.770833333333333,259,336,2.56477272727273,"#80808014"
"CDA","DENK",0.57328990228013,176,307,1.90749185667752,"#80808014"
"FVD","CDA",0.578616352201258,184,318,1.92521440823328,"#80808014"
"GroenLinks-PvdA","CDA",0.613372093023256,211,344,2.04085623678647,"#80808014"
"CDA","JA21",0.70863309352518,197,278,2.35781556572924,"#80808014"
"NSC","CDA",0.787172011661808,270,343,2.61913596607474,"#80808014"
"CDA","PVV",0.588068181818182,207,352,1.9566632231405,"#80808014"
"CDA","PvdD",0.524916943521595,158,301,1.74654183026276,"#80808014"
"SGP","CDA",0.74671052631579,227,304,2.48450956937799,"#80808014"
"CDA","SP",0.596091205211726,183,307,1.98335801006811,"#80808014"
"VVD","CDA",0.732919254658385,236,322,2.4386222473179,"#80808014"
"Volt","CDA",0.711974110032362,220,309,2.36893203883495,"#80808014"
"D66","ChristenUnie",0.732522796352584,241,329,2.43730312240951,"#80808014"
"ChristenUnie","DENK",0.676100628930818,215,318,2.24957118353345,"#80808014"
"FVD","ChristenUnie",0.54140127388535,170,314,1.80138969310944,"#80808014"
"GroenLinks-PvdA","ChristenUnie",0.719298245614035,246,342,2.3933014354067,"#80808014"
"JA21","ChristenUnie",0.641447368421053,195,304,2.13427033492823,"#80808014"
"NSC","ChristenUnie",0.72054794520548,263,365,2.3974595267746,"#80808014"
"ChristenUnie","PVV",0.477653631284916,171,358,1.58928390045708,"#80808014"
"ChristenUnie","PvdD",0.64327485380117,220,342,2.14035087719298,"#80808014"
"SGP","ChristenUnie",0.752238805970149,252,335,2.50290366350068,"#80808014"
"ChristenUnie","SP",0.696696696696697,232,333,2.31809991809992,"#80808014"
"VVD","ChristenUnie",0.625827814569536,189,302,2.08229981938591,"#80808014"
"Volt","ChristenUnie",0.766447368421053,233,304,2.55017942583732,"#80808014"
"D66","DENK",0.725,232,320,2.41227272727273,"#80808014"
"FVD","D66",0.452054794520548,165,365,1.5041095890411,"#80808014"
"GroenLinks-PvdA","D66",0.819241982507289,281,343,2.72584150543334,"#808080D9"
"D66","JA21",0.589041095890411,172,292,1.959900373599,"#80808014"
"NSC","D66",0.659630606860158,250,379,2.19477092828016,"#80808014"
"D66","PVV",0.463806970509383,173,373,1.54321228369486,"#80808014"
"D66","PvdD",0.723270440251572,230,318,2.4065180102916,"#80808014"
"SGP","D66",0.641269841269841,202,315,2.13367965367965,"#80808014"
"D66","SP",0.765822784810127,242,316,2.54810126582278,"#80808014"
"VVD","D66",0.577712609970675,197,341,1.92220741135697,"#80808014"
"Volt","D66",0.876623376623377,270,308,2.91676505312869,"#808080D9"
"FVD","DENK",0.489614243323442,165,337,1.62908011869436,"#80808014"
"GroenLinks-PvdA","DENK",0.768025078369906,245,319,2.55542889712169,"#80808014"
"JA21","DENK",0.455197132616487,127,279,1.51456500488759,"#80808014"
"NSC","DENK",0.561194029850746,188,335,1.86724559023066,"#80808014"
"PVV","DENK",0.417867435158501,145,347,1.39035892061829,"#80808014"
"DENK","PvdD",0.773770491803279,236,305,2.57454545454545,"#80808014"
"SGP","DENK",0.54983922829582,171,311,1.82946506869336,"#80808014"
"SP","DENK",0.807692307692308,252,312,2.68741258741259,"#80808014"
"VVD","DENK",0.430379746835443,136,316,1.43199079401611,"#80808014"
"Volt","DENK",0.798634812286689,234,293,2.65727582997208,"#80808014"
"GroenLinks-PvdA","FVD",0.358543417366947,128,357,1.1929717341482,"#80808014"
"FVD","JA21",0.660839160839161,189,286,2.19879211697394,"#80808014"
"NSC","FVD",0.545454545454545,192,352,1.81487603305785,"#80808014"
"FVD","PVV",0.648255813953488,223,344,2.15692389006343,"#80808014"
"FVD","PvdD",0.367924528301887,117,318,1.22418524871355,"#80808014"
"SGP","FVD",0.641509433962264,204,318,2.13447684391081,"#80808014"
"FVD","SP",0.456647398843931,158,346,1.51939043615344,"#80808014"
"VVD","FVD",0.562111801242236,181,322,1.87029926595144,"#80808014"
"Volt","FVD",0.439102564102564,137,312,1.46101398601399,"#80808014"
"GroenLinks-PvdA","JA21",0.467576791808874,137,293,1.55575550729134,"#80808014"
"GroenLinks-PvdA","NSC",0.569060773480663,206,362,1.89342039176293,"#80808014"
"GroenLinks-PvdA","PVV",0.341954022988506,119,348,1.13777429467085,"#80808014"
"GroenLinks-PvdA","PvdD",0.847619047619048,267,315,2.82025974025974,"#808080D9"
"GroenLinks-PvdA","SGP",0.501577287066246,159,317,1.66888442787496,"#80808014"
"GroenLinks-PvdA","SP",0.82636655948553,257,311,2.7495469161064,"#808080D9"
"GroenLinks-PvdA","VVD",0.462908011869436,156,337,1.54022120312922,"#80808014"
"GroenLinks-PvdA","Volt",0.891025641025641,278,312,2.96468531468531,"#808080D9"
"NSC","JA21",0.731958762886598,213,291,2.43542642924086,"#80808014"
"JA21","PVV",0.69551282051282,217,312,2.31416083916084,"#80808014"
"JA21","PvdD",0.407142857142857,114,280,1.35467532467532,"#80808014"
"SGP","JA21",0.757894736842105,216,285,2.52172248803828,"#80808014"
"JA21","SP",0.419354838709677,117,279,1.39530791788856,"#80808014"
"VVD","JA21",0.727598566308244,203,279,2.42091886608016,"#80808014"
"Volt","JA21",0.509505703422053,134,263,1.6952644313861,"#80808014"
"NSC","PVV",0.669333333333333,251,375,2.22705454545455,"#80808014"
"NSC","PvdD",0.491071428571429,165,336,1.63392857142857,"#80808014"
"SGP","NSC",0.72,234,325,2.39563636363636,"#80808014"
"NSC","SP",0.574229691876751,205,357,1.91061879297173,"#80808014"
"VVD","NSC",0.808988764044944,288,356,2.69172625127681,"#808080D9"
"Volt","NSC",0.598039215686274,183,306,1.98983957219251,"#80808014"
"PVV","PvdD",0.308781869688385,109,353,1.02740149369045,"#80808014"
"SGP","PVV",0.66875,214,320,2.22511363636364,"#80808014"
"PVV","SP",0.379710144927536,131,345,1.26339920948617,"#80808014"
"VVD","PVV",0.71671388101983,253,353,2.38470254957507,"#80808014"
"Volt","PVV",0.406349206349206,128,315,1.35203463203463,"#80808014"
"SGP","PvdD",0.478114478114478,142,297,1.59081726354454,"#80808014"
"SP","PvdD",0.901639344262295,275,305,3,"#808080D9"
"VVD","PvdD",0.374193548387097,116,310,1.24504398826979,"#80808014"
"Volt","PvdD",0.832752613240418,239,287,2.77079505859994,"#808080D9"
"SGP","SP",0.520408163265306,153,294,1.73153988868275,"#80808014"
"SGP","VVD",0.679365079365079,214,315,2.2604329004329,"#80808014"
"SGP","Volt",0.570945945945946,169,296,1.89969287469287,"#80808014"
"VVD","SP",0.452830188679245,144,318,1.50668953687822,"#80808014"
"Volt","SP",0.833333333333333,245,294,2.77272727272727,"#808080D9"
"Volt","VVD",0.513698630136986,150,292,1.70921544209215,"#80808014"
